Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:06:53.107  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |10YQR01FT002XQ02|10YQR02FT002XQ02|10YQR03FT002XQ02|10YQR04FT002XQ02|10YQR05FT002XQ02|10YQR06FT002XQ02|10YQR07FT002XQ02|10YQR08FT002XQ02|10YQR09FT002XQ02|10YQR10FT002XQ02|10YQR11FT002XQ02|10YQR12FT002XQ02|10YQR13FT002XQ02|10YQR14FT002XQ02|10YQR15FT002XQ02|10YQR16FT002XQ02|10YQR17FT002XQ02|10YQR18FT002XQ02|10YQR19FT002XQ02|10YQR20FT002XQ02|10YQR21FT002XQ02|10YQR22FT002XQ02|10YQR23FT002XQ02|10YQR24FT002XQ02|10YQR25FT002XQ02|10YQR26FT002XQ02|10YQR27FT002XQ02|10YQR28FT002XQ02|10YQR29FT002XQ02|10YQR30FT002XQ02|10YQR31FT002XQ02|10YQR32FT002XQ02|10YQR33FT002XQ02|10YQR34FT002XQ02|10YQR35FT002XQ02|10YQR36FT002XQ02|10YQR37FT002XQ02|10YQR38FT002XQ02|10YQR39FT002XQ02|10YQR40FT002XQ02|10YQR41FT002XQ02|10YQR42FT002XQ02|10YQR43FT002XQ02|10YQR44FT002XQ02|10YQR45FT002XQ02|10YQR46FT002XQ02|10YQR51FT002XQ02|10YQR52FT002XQ02|10YQR53FT002XQ02|10YQR54FT002XQ02|
08.07.2013 08:00:00.000 |28.152          |29.937          |31.197          |31.527          |32.311          |32.554          |29.533          |28.934          |25.986          |29.210          |32.647          |31.075          |33.009          |29.409          |34.599          |28.801          |31.815          |30.912          |33.357          |29.285          |28.870          |31.727          |27.526          |26.379          |31.714          |32.469          |25.591          |31.672          |30.015          |32.523          |30.444          |30.467          |28.139          |29.120          |31.577          |23.756          |37.434          |29.791          |27.275          |28.162          |34.283          |29.268          |31.939          |29.974          |29.798          |27.045          |30.623          |32.132          |29.339          |21.861          |
08.07.2013 08:00:10.000 |27.629          |29.844          |31.329          |31.527          |32.305          |32.547          |29.383          |28.812          |26.323          |29.056          |32.756          |31.096          |33.517          |29.459          |34.763          |28.790          |31.808          |30.705          |33.636          |29.302          |28.851          |31.751          |27.433          |26.341          |31.731          |32.289          |25.613          |31.694          |30.032          |32.316          |30.433          |30.517          |28.101          |29.228          |31.425          |23.548          |36.801          |29.899          |27.184          |28.069          |34.307          |29.147          |32.559          |30.077          |29.963          |27.067          |30.623          |32.066          |29.303          |22.055          |
08.07.2013 08:00:20.000 |27.756          |29.827          |31.255          |31.268          |32.463          |32.473          |29.423          |28.824          |26.078          |29.018          |32.654          |31.096          |33.100          |29.442          |34.662          |28.918          |31.880          |30.831          |33.563          |29.462          |28.806          |31.852          |27.502          |26.412          |31.633          |32.446          |25.852          |31.477          |30.135          |32.870          |30.564          |30.517          |28.210          |28.954          |31.614          |23.534          |38.072          |29.940          |27.167          |28.224          |34.404          |29.113          |32.714          |29.951          |29.918          |27.193          |30.742          |32.226          |29.401          |21.953          |
08.07.2013 08:00:30.000 |27.355          |29.856          |31.314          |31.281          |32.477          |32.497          |29.409          |28.925          |26.209          |28.857          |32.811          |31.109          |33.088          |29.518          |34.650          |28.363          |31.812          |30.677          |33.617          |29.594          |28.916          |31.725          |27.542          |26.401          |31.738          |32.319          |25.710          |31.639          |30.212          |32.748          |30.392          |30.672          |28.210          |29.057          |31.571          |23.520          |37.517          |29.882          |27.213          |27.986          |34.310          |29.113          |32.557          |30.087          |29.951          |27.039          |30.646          |31.897          |29.304          |21.912          |
08.07.2013 08:00:40.000 |27.904          |29.757          |31.248          |31.179          |32.321          |32.457          |29.409          |28.977          |25.968          |29.105          |32.679          |31.109          |33.195          |29.336          |34.723          |28.751          |31.742          |30.893          |33.278          |29.094          |28.812          |31.796          |27.532          |26.401          |31.752          |32.374          |25.629          |31.539          |30.093          |32.507          |30.511          |30.505          |28.117          |29.083          |31.426          |23.252          |37.704          |29.855          |27.172          |27.971          |34.212          |28.995          |32.262          |30.087          |29.933          |27.132          |30.556          |32.199          |29.549          |22.069          |
08.07.2013 08:00:50.000 |27.601          |29.717          |31.163          |31.147          |32.530          |32.426          |29.467          |28.895          |25.954          |28.596          |32.644          |31.039          |32.827          |29.350          |34.686          |28.331          |31.836          |30.928          |33.458          |29.045          |28.873          |31.610          |27.566          |26.393          |31.697          |32.344          |25.694          |31.668          |30.149          |32.573          |30.408          |30.573          |28.241          |28.999          |31.542          |23.605          |37.828          |29.974          |27.181          |27.983          |34.259          |29.093          |32.442          |30.083          |29.845          |27.035          |30.526          |32.187          |29.305          |21.877          |
08.07.2013 08:01:00.000 |27.351          |29.823          |31.310          |31.330          |32.169          |32.468          |29.444          |28.705          |26.153          |28.807          |32.735          |31.075          |32.923          |29.530          |34.457          |28.767          |31.590          |30.710          |33.443          |29.484          |28.873          |31.846          |27.377          |26.373          |31.681          |32.295          |25.733          |31.564          |30.073          |32.526          |30.328          |30.522          |28.079          |29.093          |31.407          |23.501          |37.869          |29.783          |27.306          |28.019          |34.259          |29.246          |31.854          |29.990          |30.056          |27.017          |30.536          |32.081          |29.425          |21.877          |
08.07.2013 08:01:10.000 |27.342          |29.842          |31.205          |31.330          |32.246          |32.571          |29.432          |28.824          |26.347          |29.342          |32.726          |31.075          |33.229          |29.518          |34.668          |28.758          |31.813          |31.015          |33.431          |29.391          |28.766          |31.807          |27.739          |26.338          |31.673          |32.372          |25.867          |31.552          |30.347          |32.574          |30.436          |30.617          |28.201          |29.143          |31.421          |23.435          |36.914          |29.780          |27.279          |28.008          |34.376          |28.948          |32.956          |30.085          |30.018          |27.209          |30.610          |32.298          |29.365          |22.194          |
08.07.2013 08:01:20.000 |27.719          |29.783          |31.186          |31.351          |32.302          |32.572          |29.432          |28.809          |25.923          |29.175          |32.726          |31.070          |33.092          |29.355          |34.755          |28.935          |31.954          |30.535          |33.551          |29.339          |28.844          |31.692          |27.654          |26.339          |31.696          |32.263          |25.730          |31.529          |30.263          |32.380          |30.441          |30.635          |28.099          |29.143          |31.712          |23.408          |37.799          |29.923          |27.279          |28.013          |34.423          |28.953          |32.791          |30.090          |29.962          |27.209          |30.759          |32.275          |29.450          |22.218          |
08.07.2013 08:01:30.000 |27.824          |29.879          |31.324          |31.475          |32.413          |32.580          |29.548          |28.926          |26.056          |29.079          |32.726          |31.103          |32.996          |29.462          |34.817          |28.181          |31.961          |30.956          |33.541          |29.418          |28.962          |31.605          |26.849          |26.399          |31.790          |32.436          |25.723          |31.554          |30.202          |32.599          |30.499          |30.485          |28.250          |29.056          |31.596          |23.484          |37.806          |30.115          |27.279          |28.042          |34.316          |29.201          |32.581          |30.090          |29.928          |27.102          |30.692          |32.153          |29.472          |21.971          |
