Bushehr NPP      Operating period  1         Cur. time 08.07.2013 10:55:15.246  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |10YQR01FX001XQ05|10YQR01FX002XQ05|10YQR01FX003XQ05|10YQR01FX004XQ05|10YQR01FX005XQ05|10YQR01FX006XQ05|10YQR01FX007XQ05|10YQR01FX008XQ05|10YQR01FX009XQ05|10YQR01FX010XQ05|10YQR01FX011XQ05|10YQR01FX012XQ05|10YQR01FX013XQ05|10YQR01FX014XQ05|10YQR01FX015XQ05|10YQR01FX016XQ05|10YQR01FX017XQ05|10YQR01FX018XQ05|10YQR01FX019XQ05|10YQR01FX020XQ05|10YQR01FX021XQ05|10YQR01FX022XQ05|10YQR01FX023XQ05|10YQR01FX024XQ05|10YQR01FX025XQ05|10YQR01FX026XQ05|10YQR01FX027XQ05|10YQR01FX028XQ05|10YQR01FX029XQ05|10YQR01FX030XQ05|10YQR01FX031XQ05|10YQR01FX032XQ05|10YQR01FX033XQ05|10YQR01FX034XQ05|10YQR01FX035XQ05|10YQR01FX036XQ05|10YQR01FX037XQ05|10YQR01FX038XQ05|10YQR01FX039XQ05|10YQR01FX040XQ05|10YQR01FX041XQ05|10YQR01FX042XQ05|10YQR01FX043XQ05|10YQR01FX044XQ05|10YQR01FX045XQ05|10YQR01FX046XQ05|10YQR01FX047XQ05|10YQR01FX048XQ05|10YQR01FX049XQ05|10YQR01FX050XQ05|10YQR01FX051XQ05|10YQR01FX052XQ05|10YQR01FX053XQ05|10YQR01FX054XQ05|10YQR01FX055XQ05|10YQR01FX056XQ05|10YQR01FX057XQ05|10YQR01FX058XQ05|10YQR01FX059XQ05|10YQR01FX060XQ05|10YQR01FX061XQ05|10YQR01FX062XQ05|10YQR01FX063XQ05|10YQR01FX064XQ05|10YQR01FX065XQ05|10YQR01FX066XQ05|10YQR01FX067XQ05|10YQR01FX068XQ05|10YQR01FX069XQ05|10YQR01FX070XQ05|10YQR01FX071XQ05|10YQR01FX072XQ05|10YQR01FX073XQ05|10YQR01FX074XQ05|10YQR01FX075XQ05|10YQR01FX076XQ05|10YQR01FX077XQ05|10YQR01FX078XQ05|10YQR01FX079XQ05|10YQR01FX080XQ05|10YQR01FX081XQ05|10YQR01FX082XQ05|10YQR01FX083XQ05|10YQR01FX084XQ05|10YQR01FX085XQ05|10YQR01FX086XQ05|10YQR01FX087XQ05|10YQR01FX088XQ05|10YQR01FX089XQ05|10YQR01FX090XQ05|10YQR01FX091XQ05|10YQR01FX092XQ05|10YQR01FX093XQ05|10YQR01FX094XQ05|10YQR01FX095XQ05|10YQR01FX096XQ05|10YQR01FX097XQ05|10YQR01FX098XQ05|10YQR01FX099XQ05|10YQR01FX100XQ05|10YQR01FX101XQ05|10YQR01FX102XQ05|10YQR01FX103XQ05|10YQR01FX104XQ05|10YQR01FX105XQ05|10YQR01FX106XQ05|10YQR01FX107XQ05|10YQR01FX108XQ05|10YQR01FX109XQ05|10YQR01FX110XQ05|10YQR01FX111XQ05|10YQR01FX112XQ05|10YQR01FX113XQ05|10YQR01FX114XQ05|10YQR01FX115XQ05|10YQR01FX116XQ05|10YQR01FX117XQ05|10YQR01FX118XQ05|10YQR01FX119XQ05|10YQR01FX120XQ05|10YQR01FX121XQ05|10YQR01FX122XQ05|10YQR01FX123XQ05|10YQR01FX124XQ05|10YQR01FX125XQ05|10YQR01FX126XQ05|10YQR01FX127XQ05|10YQR01FX128XQ05|10YQR01FX129XQ05|10YQR01FX130XQ05|10YQR01FX131XQ05|10YQR01FX132XQ05|10YQR01FX133XQ05|10YQR01FX134XQ05|10YQR01FX135XQ05|10YQR01FX136XQ05|10YQR01FX137XQ05|10YQR01FX138XQ05|10YQR01FX139XQ05|10YQR01FX140XQ05|10YQR01FX141XQ05|10YQR01FX142XQ05|10YQR01FX143XQ05|10YQR01FX144XQ05|10YQR01FX145XQ05|10YQR01FX146XQ05|10YQR01FX147XQ05|10YQR01FX148XQ05|10YQR01FX149XQ05|10YQR01FX150XQ05|10YQR01FX151XQ05|10YQR01FX152XQ05|10YQR01FX153XQ05|10YQR01FX154XQ05|10YQR01FX155XQ05|10YQR01FX156XQ05|10YQR01FX157XQ05|10YQR01FX158XQ05|10YQR01FX159XQ05|10YQR01FX160XQ05|10YQR01FX161XQ05|10YQR01FX162XQ05|10YQR01FX163XQ05|
08.07.2013 08:00:00.000 |1.045           |1.094           |1.091           |1.097           |1.117           |1.055           |1.056           |1.189           |1.264           |1.225           |1.272           |1.227           |1.264           |1.154           |0.938           |1.114           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.059           |1.210           |1.048           |1.111           |1.247           |1.110           |1.289           |1.296           |1.372           |1.302           |1.269           |1.100           |1.223           |1.085           |1.119           |1.297           |1.134           |1.327           |1.150           |1.161           |1.165           |1.155           |1.338           |1.141           |1.296           |1.079           |1.151           |1.245           |1.125           |1.390           |1.174           |1.420           |1.340           |1.431           |1.194           |1.426           |1.133           |1.203           |1.035           |1.098           |1.290           |1.093           |1.326           |1.183           |1.351           |1.199           |1.207           |1.366           |1.199           |1.336           |1.074           |1.179           |0.929           |1.135           |0.994           |1.259           |1.168           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.112           |0.841           |0.965           |0.969           |1.292           |1.186           |1.370           |1.218           |1.216           |1.362           |1.176           |1.303           |1.079           |1.249           |1.034           |0.876           |1.056           |1.072           |1.389           |1.184           |1.437           |1.359           |1.438           |1.179           |1.380           |1.110           |1.230           |1.121           |1.002           |1.272           |1.130           |1.323           |1.150           |1.168           |1.176           |1.163           |1.328           |1.123           |1.300           |1.134           |1.092           |1.245           |1.103           |1.279           |1.306           |1.380           |1.326           |1.299           |1.105           |1.244           |1.123           |1.104           |1.263           |1.108           |1.135           |1.137           |1.124           |1.096           |1.058           |1.252           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.160           |1.099           |1.047           |0.940           |
08.07.2013 08:00:10.000 |1.045           |1.094           |1.091           |1.098           |1.117           |1.055           |1.056           |1.189           |1.264           |1.225           |1.272           |1.228           |1.265           |1.154           |0.938           |1.114           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.059           |1.210           |1.048           |1.111           |1.247           |1.110           |1.289           |1.296           |1.372           |1.302           |1.268           |1.100           |1.223           |1.085           |1.119           |1.296           |1.134           |1.326           |1.150           |1.161           |1.165           |1.156           |1.338           |1.141           |1.295           |1.079           |1.151           |1.246           |1.125           |1.390           |1.174           |1.420           |1.340           |1.431           |1.194           |1.426           |1.132           |1.203           |1.035           |1.098           |1.290           |1.093           |1.326           |1.183           |1.351           |1.199           |1.207           |1.366           |1.199           |1.335           |1.074           |1.179           |0.929           |1.136           |0.994           |1.260           |1.168           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.112           |0.840           |0.965           |0.969           |1.291           |1.186           |1.370           |1.218           |1.216           |1.362           |1.175           |1.303           |1.079           |1.249           |1.033           |0.876           |1.056           |1.072           |1.389           |1.184           |1.437           |1.358           |1.438           |1.178           |1.380           |1.110           |1.231           |1.121           |1.002           |1.272           |1.130           |1.323           |1.150           |1.168           |1.175           |1.163           |1.327           |1.123           |1.300           |1.134           |1.092           |1.245           |1.103           |1.279           |1.306           |1.380           |1.326           |1.298           |1.105           |1.244           |1.123           |1.103           |1.263           |1.108           |1.135           |1.137           |1.124           |1.096           |1.058           |1.252           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.160           |1.099           |1.047           |0.940           |
08.07.2013 08:00:20.000 |1.045           |1.094           |1.091           |1.097           |1.117           |1.055           |1.056           |1.189           |1.264           |1.225           |1.272           |1.228           |1.265           |1.155           |0.939           |1.114           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.059           |1.210           |1.048           |1.111           |1.247           |1.110           |1.289           |1.296           |1.372           |1.302           |1.269           |1.100           |1.223           |1.085           |1.119           |1.297           |1.134           |1.327           |1.150           |1.161           |1.165           |1.156           |1.338           |1.141           |1.296           |1.079           |1.152           |1.245           |1.125           |1.390           |1.174           |1.420           |1.340           |1.431           |1.194           |1.426           |1.132           |1.203           |1.035           |1.098           |1.290           |1.093           |1.326           |1.183           |1.351           |1.199           |1.206           |1.366           |1.198           |1.335           |1.074           |1.179           |0.929           |1.135           |0.994           |1.259           |1.168           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.112           |0.841           |0.965           |0.969           |1.292           |1.186           |1.370           |1.217           |1.216           |1.362           |1.175           |1.303           |1.079           |1.249           |1.033           |0.876           |1.056           |1.072           |1.389           |1.184           |1.437           |1.359           |1.438           |1.178           |1.380           |1.110           |1.231           |1.121           |1.002           |1.272           |1.130           |1.323           |1.150           |1.168           |1.175           |1.162           |1.327           |1.123           |1.300           |1.134           |1.092           |1.245           |1.103           |1.279           |1.306           |1.380           |1.326           |1.299           |1.105           |1.244           |1.123           |1.104           |1.263           |1.108           |1.135           |1.137           |1.124           |1.096           |1.058           |1.251           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.160           |1.099           |1.047           |0.940           |
08.07.2013 08:00:30.000 |1.045           |1.094           |1.091           |1.098           |1.118           |1.055           |1.056           |1.189           |1.263           |1.225           |1.272           |1.228           |1.265           |1.155           |0.939           |1.114           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.060           |1.211           |1.048           |1.111           |1.247           |1.110           |1.289           |1.296           |1.372           |1.302           |1.269           |1.100           |1.223           |1.086           |1.119           |1.296           |1.134           |1.326           |1.150           |1.161           |1.165           |1.156           |1.338           |1.141           |1.296           |1.079           |1.151           |1.245           |1.125           |1.390           |1.174           |1.419           |1.340           |1.431           |1.194           |1.426           |1.133           |1.203           |1.035           |1.098           |1.289           |1.093           |1.326           |1.183           |1.351           |1.199           |1.206           |1.366           |1.199           |1.335           |1.074           |1.179           |0.929           |1.135           |0.994           |1.260           |1.168           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.036           |1.112           |0.840           |0.965           |0.969           |1.291           |1.186           |1.370           |1.217           |1.216           |1.362           |1.175           |1.302           |1.078           |1.249           |1.033           |0.876           |1.056           |1.072           |1.389           |1.184           |1.437           |1.359           |1.437           |1.178           |1.380           |1.110           |1.230           |1.121           |1.002           |1.272           |1.130           |1.323           |1.150           |1.168           |1.175           |1.163           |1.327           |1.123           |1.300           |1.134           |1.092           |1.245           |1.103           |1.279           |1.306           |1.380           |1.326           |1.298           |1.105           |1.244           |1.123           |1.104           |1.264           |1.108           |1.135           |1.137           |1.124           |1.096           |1.058           |1.252           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.160           |1.099           |1.047           |0.940           |
08.07.2013 08:00:40.000 |1.045           |1.094           |1.091           |1.097           |1.117           |1.055           |1.056           |1.189           |1.263           |1.225           |1.272           |1.228           |1.265           |1.155           |0.939           |1.113           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.060           |1.210           |1.048           |1.111           |1.247           |1.110           |1.289           |1.296           |1.372           |1.302           |1.269           |1.100           |1.223           |1.085           |1.119           |1.296           |1.134           |1.326           |1.150           |1.161           |1.165           |1.155           |1.338           |1.141           |1.296           |1.079           |1.151           |1.245           |1.125           |1.390           |1.174           |1.419           |1.339           |1.431           |1.194           |1.426           |1.133           |1.203           |1.035           |1.098           |1.290           |1.093           |1.326           |1.183           |1.351           |1.199           |1.206           |1.366           |1.199           |1.335           |1.074           |1.179           |0.929           |1.135           |0.994           |1.259           |1.168           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.112           |0.840           |0.965           |0.969           |1.291           |1.186           |1.370           |1.217           |1.216           |1.362           |1.175           |1.302           |1.078           |1.249           |1.033           |0.876           |1.056           |1.072           |1.389           |1.184           |1.437           |1.359           |1.438           |1.178           |1.380           |1.110           |1.230           |1.121           |1.002           |1.272           |1.130           |1.323           |1.150           |1.168           |1.175           |1.163           |1.327           |1.123           |1.300           |1.134           |1.092           |1.245           |1.103           |1.279           |1.306           |1.380           |1.326           |1.298           |1.105           |1.244           |1.123           |1.103           |1.263           |1.108           |1.135           |1.137           |1.124           |1.096           |1.058           |1.252           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.160           |1.099           |1.047           |0.939           |
08.07.2013 08:00:50.000 |1.045           |1.094           |1.091           |1.097           |1.117           |1.055           |1.056           |1.189           |1.264           |1.225           |1.272           |1.227           |1.265           |1.154           |0.938           |1.114           |1.278           |1.088           |1.091           |1.104           |1.105           |1.084           |1.060           |1.210           |1.048           |1.110           |1.247           |1.110           |1.289           |1.296           |1.372           |1.302           |1.269           |1.100           |1.223           |1.086           |1.119           |1.297           |1.135           |1.326           |1.150           |1.161           |1.165           |1.156           |1.338           |1.141           |1.296           |1.079           |1.151           |1.246           |1.125           |1.390           |1.174           |1.420           |1.340           |1.431           |1.194           |1.426           |1.133           |1.203           |1.035           |1.098           |1.290           |1.093           |1.326           |1.183           |1.351           |1.199           |1.206           |1.366           |1.198           |1.335           |1.074           |1.179           |0.929           |1.135           |0.994           |1.259           |1.169           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.112           |0.840           |0.965           |0.969           |1.292           |1.186           |1.370           |1.217           |1.216           |1.362           |1.175           |1.303           |1.078           |1.250           |1.033           |0.876           |1.056           |1.072           |1.389           |1.184           |1.437           |1.359           |1.438           |1.178           |1.380           |1.110           |1.230           |1.121           |1.002           |1.272           |1.130           |1.323           |1.150           |1.168           |1.175           |1.163           |1.327           |1.123           |1.300           |1.134           |1.092           |1.245           |1.103           |1.279           |1.306           |1.380           |1.326           |1.299           |1.105           |1.244           |1.123           |1.103           |1.263           |1.108           |1.135           |1.137           |1.124           |1.097           |1.058           |1.252           |1.105           |1.035           |1.222           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.159           |1.099           |1.047           |0.940           |
08.07.2013 08:01:00.000 |1.045           |1.094           |1.091           |1.098           |1.119           |1.056           |1.056           |1.189           |1.264           |1.225           |1.272           |1.228           |1.265           |1.155           |0.939           |1.113           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.060           |1.211           |1.048           |1.111           |1.247           |1.110           |1.290           |1.296           |1.372           |1.303           |1.269           |1.100           |1.223           |1.086           |1.119           |1.296           |1.134           |1.327           |1.150           |1.161           |1.165           |1.156           |1.338           |1.141           |1.296           |1.079           |1.151           |1.245           |1.125           |1.390           |1.174           |1.420           |1.340           |1.431           |1.194           |1.426           |1.133           |1.203           |1.035           |1.098           |1.289           |1.093           |1.326           |1.183           |1.351           |1.199           |1.206           |1.366           |1.199           |1.335           |1.074           |1.179           |0.929           |1.135           |0.994           |1.259           |1.168           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.112           |0.840           |0.965           |0.969           |1.291           |1.186           |1.370           |1.217           |1.216           |1.362           |1.176           |1.303           |1.079           |1.249           |1.033           |0.876           |1.056           |1.072           |1.389           |1.184           |1.437           |1.359           |1.438           |1.179           |1.380           |1.110           |1.230           |1.121           |1.002           |1.272           |1.130           |1.323           |1.150           |1.168           |1.176           |1.163           |1.328           |1.123           |1.300           |1.133           |1.092           |1.245           |1.104           |1.279           |1.306           |1.380           |1.327           |1.299           |1.106           |1.244           |1.123           |1.104           |1.264           |1.108           |1.136           |1.138           |1.125           |1.097           |1.058           |1.252           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.160           |1.099           |1.047           |0.940           |
08.07.2013 08:01:10.000 |1.045           |1.094           |1.091           |1.098           |1.118           |1.056           |1.056           |1.189           |1.264           |1.225           |1.272           |1.229           |1.266           |1.155           |0.939           |1.114           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.060           |1.211           |1.048           |1.110           |1.247           |1.110           |1.290           |1.296           |1.372           |1.303           |1.269           |1.100           |1.223           |1.086           |1.119           |1.296           |1.134           |1.327           |1.150           |1.161           |1.165           |1.156           |1.338           |1.141           |1.296           |1.079           |1.151           |1.245           |1.125           |1.390           |1.174           |1.420           |1.340           |1.431           |1.194           |1.426           |1.133           |1.203           |1.035           |1.098           |1.289           |1.092           |1.326           |1.183           |1.351           |1.199           |1.207           |1.366           |1.199           |1.335           |1.074           |1.179           |0.929           |1.135           |0.994           |1.259           |1.168           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.112           |0.840           |0.965           |0.969           |1.291           |1.186           |1.370           |1.218           |1.216           |1.362           |1.176           |1.303           |1.079           |1.250           |1.033           |0.876           |1.056           |1.072           |1.389           |1.184           |1.437           |1.359           |1.438           |1.179           |1.380           |1.110           |1.230           |1.121           |1.002           |1.272           |1.130           |1.323           |1.150           |1.168           |1.176           |1.163           |1.328           |1.123           |1.300           |1.134           |1.092           |1.245           |1.104           |1.279           |1.306           |1.380           |1.327           |1.299           |1.105           |1.244           |1.123           |1.104           |1.264           |1.108           |1.136           |1.138           |1.124           |1.096           |1.058           |1.252           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.160           |1.099           |1.047           |0.940           |
08.07.2013 08:01:20.000 |1.045           |1.094           |1.091           |1.098           |1.119           |1.056           |1.056           |1.189           |1.264           |1.225           |1.272           |1.228           |1.266           |1.154           |0.938           |1.114           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.060           |1.211           |1.048           |1.110           |1.247           |1.110           |1.289           |1.296           |1.372           |1.303           |1.268           |1.100           |1.223           |1.086           |1.119           |1.296           |1.134           |1.327           |1.150           |1.161           |1.165           |1.156           |1.338           |1.141           |1.296           |1.079           |1.151           |1.245           |1.125           |1.390           |1.174           |1.419           |1.340           |1.431           |1.194           |1.426           |1.133           |1.203           |1.035           |1.098           |1.289           |1.093           |1.326           |1.183           |1.351           |1.199           |1.207           |1.366           |1.198           |1.335           |1.074           |1.179           |0.929           |1.135           |0.994           |1.259           |1.168           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.112           |0.840           |0.965           |0.969           |1.292           |1.186           |1.370           |1.218           |1.216           |1.362           |1.176           |1.303           |1.079           |1.250           |1.033           |0.876           |1.057           |1.072           |1.389           |1.184           |1.437           |1.359           |1.438           |1.179           |1.380           |1.110           |1.231           |1.121           |1.002           |1.273           |1.130           |1.323           |1.150           |1.168           |1.176           |1.163           |1.328           |1.123           |1.300           |1.134           |1.092           |1.245           |1.103           |1.279           |1.306           |1.380           |1.327           |1.299           |1.106           |1.244           |1.123           |1.104           |1.264           |1.108           |1.136           |1.138           |1.125           |1.097           |1.058           |1.252           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.272           |1.276           |1.160           |1.099           |1.047           |0.940           |
08.07.2013 08:01:30.000 |1.045           |1.094           |1.091           |1.098           |1.118           |1.056           |1.056           |1.189           |1.264           |1.225           |1.272           |1.228           |1.266           |1.155           |0.939           |1.114           |1.278           |1.087           |1.091           |1.104           |1.105           |1.084           |1.060           |1.210           |1.048           |1.111           |1.247           |1.110           |1.289           |1.296           |1.372           |1.303           |1.269           |1.100           |1.223           |1.086           |1.119           |1.296           |1.134           |1.326           |1.150           |1.161           |1.165           |1.156           |1.338           |1.141           |1.296           |1.080           |1.151           |1.245           |1.125           |1.389           |1.174           |1.420           |1.340           |1.431           |1.194           |1.426           |1.133           |1.203           |1.035           |1.098           |1.289           |1.093           |1.326           |1.183           |1.351           |1.199           |1.207           |1.366           |1.199           |1.335           |1.074           |1.179           |0.930           |1.135           |0.994           |1.259           |1.169           |1.446           |1.214           |1.455           |1.216           |1.445           |1.163           |1.274           |1.037           |1.113           |0.840           |0.965           |0.969           |1.292           |1.186           |1.370           |1.217           |1.216           |1.362           |1.176           |1.303           |1.079           |1.250           |1.034           |0.876           |1.057           |1.072           |1.389           |1.184           |1.437           |1.359           |1.438           |1.179           |1.380           |1.110           |1.231           |1.121           |1.002           |1.273           |1.130           |1.323           |1.150           |1.168           |1.176           |1.163           |1.328           |1.123           |1.300           |1.134           |1.092           |1.245           |1.104           |1.279           |1.306           |1.380           |1.327           |1.299           |1.106           |1.244           |1.123           |1.104           |1.264           |1.108           |1.136           |1.138           |1.125           |1.097           |1.058           |1.252           |1.105           |1.035           |1.223           |1.408           |1.325           |1.316           |1.216           |1.199           |1.120           |1.024           |1.271           |1.275           |1.160           |1.099           |1.047           |0.940           |
