Bushehr NPP      Operating period  1         Cur. time 08.07.2013 10:17:02.085  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 06:00:00.000
RSA protocol     Nakz              2991      Final time  08.07.2013 07:00:00.000

Time                    |10YQR07FX001XQ06|10YQR07FX002XQ06|10YQR07FX003XQ06|10YQR07FX004XQ06|10YQR07FX005XQ06|10YQR07FX006XQ06|10YQR07FX007XQ06|10YQR07FX008XQ06|10YQR07FX009XQ06|10YQR07FX010XQ06|10YQR07FX011XQ06|10YQR07FX012XQ06|10YQR07FX013XQ06|10YQR07FX014XQ06|10YQR07FX015XQ06|10YQR07FX016XQ06|10YQR07FX017XQ06|10YQR07FX018XQ06|10YQR07FX019XQ06|10YQR07FX020XQ06|10YQR07FX021XQ06|10YQR07FX022XQ06|10YQR07FX023XQ06|10YQR07FX024XQ06|10YQR07FX025XQ06|10YQR07FX026XQ06|10YQR07FX027XQ06|10YQR07FX028XQ06|10YQR07FX029XQ06|10YQR07FX030XQ06|10YQR07FX031XQ06|10YQR07FX032XQ06|10YQR07FX033XQ06|10YQR07FX034XQ06|10YQR07FX035XQ06|10YQR07FX036XQ06|10YQR07FX037XQ06|10YQR07FX038XQ06|10YQR07FX039XQ06|10YQR07FX040XQ06|10YQR07FX041XQ06|10YQR07FX042XQ06|10YQR07FX043XQ06|10YQR07FX044XQ06|10YQR07FX045XQ06|10YQR07FX046XQ06|10YQR07FX047XQ06|10YQR07FX048XQ06|10YQR07FX049XQ06|10YQR07FX050XQ06|10YQR07FX051XQ06|10YQR07FX052XQ06|10YQR07FX053XQ06|10YQR07FX054XQ06|10YQR07FX055XQ06|10YQR07FX056XQ06|10YQR07FX057XQ06|10YQR07FX058XQ06|10YQR07FX059XQ06|10YQR07FX060XQ06|10YQR07FX061XQ06|10YQR07FX062XQ06|10YQR07FX063XQ06|10YQR07FX064XQ06|10YQR07FX065XQ06|10YQR07FX066XQ06|10YQR07FX067XQ06|10YQR07FX068XQ06|10YQR07FX069XQ06|10YQR07FX070XQ06|10YQR07FX071XQ06|10YQR07FX072XQ06|10YQR07FX073XQ06|10YQR07FX074XQ06|10YQR07FX075XQ06|10YQR07FX076XQ06|10YQR07FX077XQ06|10YQR07FX078XQ06|10YQR07FX079XQ06|10YQR07FX080XQ06|10YQR07FX081XQ06|10YQR07FX082XQ06|10YQR07FX083XQ06|10YQR07FX084XQ06|10YQR07FX085XQ06|10YQR07FX086XQ06|10YQR07FX087XQ06|10YQR07FX088XQ06|10YQR07FX089XQ06|10YQR07FX090XQ06|10YQR07FX091XQ06|10YQR07FX092XQ06|10YQR07FX093XQ06|10YQR07FX094XQ06|10YQR07FX095XQ06|10YQR07FX096XQ06|10YQR07FX097XQ06|10YQR07FX098XQ06|10YQR07FX099XQ06|10YQR07FX100XQ06|10YQR07FX101XQ06|10YQR07FX102XQ06|10YQR07FX103XQ06|10YQR07FX104XQ06|10YQR07FX105XQ06|10YQR07FX106XQ06|10YQR07FX107XQ06|10YQR07FX108XQ06|10YQR07FX109XQ06|10YQR07FX110XQ06|10YQR07FX111XQ06|10YQR07FX112XQ06|10YQR07FX113XQ06|10YQR07FX114XQ06|10YQR07FX115XQ06|10YQR07FX116XQ06|10YQR07FX117XQ06|10YQR07FX118XQ06|10YQR07FX119XQ06|10YQR07FX120XQ06|10YQR07FX121XQ06|10YQR07FX122XQ06|10YQR07FX123XQ06|10YQR07FX124XQ06|10YQR07FX125XQ06|10YQR07FX126XQ06|10YQR07FX127XQ06|10YQR07FX128XQ06|10YQR07FX129XQ06|10YQR07FX130XQ06|10YQR07FX131XQ06|10YQR07FX132XQ06|10YQR07FX133XQ06|10YQR07FX134XQ06|10YQR07FX135XQ06|10YQR07FX136XQ06|10YQR07FX137XQ06|10YQR07FX138XQ06|10YQR07FX139XQ06|10YQR07FX140XQ06|10YQR07FX141XQ06|10YQR07FX142XQ06|10YQR07FX143XQ06|10YQR07FX144XQ06|10YQR07FX145XQ06|10YQR07FX146XQ06|10YQR07FX147XQ06|10YQR07FX148XQ06|10YQR07FX149XQ06|10YQR07FX150XQ06|10YQR07FX151XQ06|10YQR07FX152XQ06|10YQR07FX153XQ06|10YQR07FX154XQ06|10YQR07FX155XQ06|10YQR07FX156XQ06|10YQR07FX157XQ06|10YQR07FX158XQ06|10YQR07FX159XQ06|10YQR07FX160XQ06|10YQR07FX161XQ06|10YQR07FX162XQ06|10YQR07FX163XQ06|
08.07.2013 06:00:00.000 |216.95          |211.54          |205.19          |205.24          |209.21          |215.73          |214.89          |213.01          |198.03          |191.63          |198.58          |193.35          |196.03          |209.55          |195.72          |207.94          |197.84          |171.90          |173.37          |175.88          |176.26          |173.01          |169.76          |190.36          |201.31          |206.43          |195.92          |175.57          |204.01          |206.84          |216.67          |209.75          |201.00          |174.72          |195.97          |207.65          |206.99          |202.15          |179.08          |213.19          |185.08          |187.42          |187.18          |183.48          |213.23          |181.68          |208.99          |206.82          |213.82          |192.70          |179.32          |220.17          |189.27          |224.87          |211.38          |224.81          |189.56          |221.10          |181.06          |194.14          |199.91          |224.52          |203.38          |173.06          |211.42          |190.46          |212.51          |193.36          |197.03          |216.79          |189.42          |213.18          |173.64          |190.09          |195.89          |213.45          |155.90          |197.97          |185.01          |228.30          |196.18          |230.59          |198.35          |228.68          |186.27          |204.47          |167.91          |203.11          |167.41          |136.59          |150.26          |204.20          |189.87          |216.46          |197.55          |197.76          |215.88          |190.41          |210.65          |173.37          |197.25          |212.14          |159.07          |161.92          |170.99          |219.36          |191.87          |230.33          |216.01          |229.89          |191.63          |220.38          |179.37          |195.47          |212.56          |186.73          |205.85          |180.96          |210.64          |185.91          |190.36          |191.16          |186.35          |213.85          |182.80          |209.00          |218.84          |206.41          |197.33          |175.01          |200.26          |207.25          |218.76          |213.00          |206.13          |176.78          |200.05          |215.18          |210.29          |199.60          |173.55          |182.47          |183.77          |180.97          |176.56          |168.47          |199.00          |212.65          |212.17          |214.81          |229.11          |212.37          |208.68          |193.03          |190.15          |200.77          |211.12          |281.46          |249.28          |218.92          |206.27          |196.90          |191.50          |
08.07.2013 06:00:10.000 |216.69          |211.54          |204.93          |204.76          |208.90          |215.29          |214.61          |212.75          |198.03          |191.63          |198.58          |193.02          |195.63          |209.22          |195.22          |207.94          |197.84          |171.90          |173.37          |175.88          |175.93          |172.69          |169.48          |190.36          |201.31          |206.16          |195.92          |175.57          |203.75          |206.54          |216.67          |209.75          |201.00          |174.30          |195.97          |207.65          |206.67          |201.88          |179.08          |212.92          |185.08          |187.42          |187.18          |183.48          |212.85          |181.36          |208.73          |206.82          |213.82          |192.70          |179.32          |220.17          |189.27          |224.87          |211.38          |224.81          |189.56          |221.10          |181.06          |194.14          |199.91          |224.14          |203.38          |173.06          |211.42          |190.46          |212.51          |193.36          |197.03          |216.79          |189.42          |213.18          |173.30          |190.09          |195.89          |213.45          |155.90          |197.97          |185.01          |228.30          |196.18          |230.59          |198.35          |228.40          |186.27          |204.47          |167.91          |202.85          |167.41          |136.59          |150.26          |204.20          |189.87          |216.46          |197.55          |197.76          |215.61          |190.41          |210.65          |173.37          |197.25          |211.83          |159.07          |161.92          |170.66          |219.36          |191.87          |230.33          |215.62          |229.89          |191.63          |220.38          |179.37          |195.47          |212.25          |186.73          |205.53          |180.96          |210.64          |185.91          |189.98          |191.16          |186.35          |213.85          |182.80          |209.00          |218.58          |206.41          |197.04          |174.69          |199.96          |206.94          |218.50          |213.00          |206.13          |176.78          |200.05          |215.18          |209.99          |199.31          |173.07          |182.16          |183.77          |180.97          |176.56          |168.47          |199.00          |212.65          |212.17          |214.81          |229.11          |212.37          |208.68          |193.03          |190.15          |200.77          |211.12          |281.06          |248.93          |218.35          |205.99          |196.90          |191.50          |
08.07.2013 06:00:20.000 |216.69          |211.54          |204.93          |204.76          |208.91          |215.29          |214.61          |212.75          |198.03          |191.63          |198.58          |192.97          |195.63          |208.81          |194.88          |207.94          |197.84          |171.90          |173.37          |175.88          |175.93          |172.69          |169.48          |190.36          |201.31          |206.16          |195.92          |175.57          |203.75          |206.54          |216.67          |209.75          |200.61          |174.25          |195.97          |207.65          |206.67          |201.88          |179.08          |212.92          |185.08          |187.42          |187.18          |183.23          |212.85          |181.36          |208.44          |206.82          |213.82          |192.81          |179.32          |220.17          |189.27          |224.87          |211.38          |224.81          |189.56          |221.10          |180.80          |194.14          |199.91          |224.14          |203.38          |173.06          |211.42          |190.46          |212.51          |193.36          |197.03          |216.79          |189.42          |213.18          |173.30          |190.09          |195.89          |213.45          |155.90          |197.93          |185.01          |228.30          |196.18          |230.59          |198.35          |228.40          |186.27          |204.47          |167.91          |202.85          |167.41          |136.27          |150.26          |204.20          |189.87          |216.46          |197.55          |197.76          |215.96          |190.41          |210.65          |173.37          |196.96          |211.83          |159.07          |161.92          |170.66          |219.36          |191.87          |230.33          |215.91          |229.89          |191.63          |220.38          |179.37          |195.47          |212.25          |186.73          |205.89          |180.96          |210.64          |185.91          |189.98          |191.16          |186.35          |213.85          |182.80          |209.00          |218.58          |206.41          |197.04          |174.69          |200.04          |206.94          |218.50          |213.00          |206.13          |176.78          |200.05          |215.18          |209.94          |199.31          |173.07          |182.16          |183.77          |180.97          |176.31          |168.47          |198.71          |212.40          |212.17          |214.81          |229.11          |212.37          |208.68          |193.03          |190.15          |200.77          |211.12          |281.06          |248.93          |218.35          |205.99          |196.90          |191.50          |
08.07.2013 06:00:30.000 |216.69          |211.54          |204.93          |204.76          |209.17          |215.29          |214.61          |212.75          |198.03          |191.63          |198.58          |192.97          |195.63          |209.37          |195.20          |208.29          |197.84          |171.90          |173.37          |175.88          |175.93          |172.69          |169.48          |190.36          |201.31          |206.16          |195.92          |175.57          |203.75          |206.54          |216.67          |209.75          |201.01          |174.25          |195.97          |207.65          |206.67          |201.88          |179.08          |212.92          |185.08          |187.42          |187.18          |183.23          |212.85          |181.36          |208.79          |206.82          |213.82          |192.81          |179.32          |220.17          |189.27          |224.87          |211.38          |224.81          |189.56          |221.10          |180.80          |194.14          |199.91          |224.14          |203.38          |173.06          |211.42          |190.46          |212.51          |193.36          |197.03          |216.79          |189.42          |213.18          |173.30          |190.09          |195.89          |213.77          |155.90          |197.93          |185.01          |228.30          |196.18          |230.59          |198.35          |228.40          |186.27          |204.47          |167.91          |202.85          |167.41          |136.27          |150.26          |204.20          |189.87          |216.46          |197.55          |197.76          |215.95          |190.41          |210.65          |173.37          |197.33          |211.83          |159.07          |161.92          |170.66          |219.36          |191.87          |230.33          |215.91          |229.89          |191.63          |220.38          |179.37          |195.47          |212.25          |186.73          |205.89          |180.96          |210.64          |185.91          |189.98          |191.16          |186.35          |213.85          |182.80          |209.00          |218.85          |206.41          |197.04          |174.69          |200.04          |206.94          |218.50          |213.00          |206.13          |176.78          |200.05          |215.18          |210.00          |199.31          |173.07          |182.16          |183.77          |180.97          |176.31          |168.47          |198.71          |212.40          |212.17          |214.81          |229.11          |212.37          |208.68          |193.03          |190.15          |200.77          |211.12          |281.06          |248.93          |218.35          |205.99          |196.90          |191.50          |
08.07.2013 06:00:40.000 |217.00          |211.54          |205.24          |205.04          |209.43          |215.57          |214.98          |213.06          |198.03          |191.63          |198.58          |193.43          |195.88          |209.69          |195.48          |208.29          |197.84          |171.90          |173.37          |175.88          |176.19          |172.69          |169.48          |190.36          |201.31          |206.50          |195.92          |175.57          |204.08          |207.09          |216.67          |209.75          |201.01          |174.56          |195.97          |207.65          |207.01          |202.25          |179.36          |213.27          |185.08          |187.42          |187.18          |183.50          |213.17          |181.36          |208.79          |206.82          |213.82          |192.81          |179.32          |220.57          |189.27          |224.87          |211.38          |224.81          |189.56          |221.10          |181.16          |194.14          |199.91          |224.53          |203.72          |173.38          |211.74          |190.46          |212.51          |193.36          |197.03          |216.79          |189.42          |213.18          |173.56          |190.09          |195.89          |213.77          |155.90          |197.93          |185.01          |228.57          |196.18          |230.86          |198.35          |228.69          |186.27          |204.47          |167.91          |203.14          |167.41          |136.59          |150.26          |204.50          |190.19          |216.73          |197.55          |197.76          |215.95          |190.41          |210.65          |173.37          |197.33          |212.15          |159.07          |161.92          |170.91          |219.64          |191.87          |230.33          |215.91          |229.89          |191.63          |220.38          |179.37          |195.47          |212.55          |186.73          |205.89          |180.96          |210.64          |185.91          |190.27          |191.16          |186.35          |213.85          |182.80          |209.00          |218.85          |206.41          |197.31          |174.69          |200.29          |207.20          |218.50          |213.00          |206.13          |176.78          |200.05          |215.18          |210.45          |199.57          |173.36          |182.16          |183.77          |180.97          |176.31          |168.47          |199.02          |212.70          |212.17          |214.81          |229.11          |212.37          |208.68          |193.03          |190.15          |200.77          |211.12          |281.71          |249.32          |218.78          |206.25          |196.90          |191.50          |
08.07.2013 06:00:50.000 |217.00          |211.54          |205.24          |205.04          |208.96          |215.57          |214.98          |213.06          |198.03          |191.60          |198.58          |193.02          |195.63          |209.25          |195.18          |208.06          |197.84          |172.16          |173.37          |175.88          |176.19          |172.98          |169.48          |190.36          |201.31          |206.50          |195.92          |175.57          |204.08          |206.77          |216.57          |209.75          |201.01          |174.56          |195.97          |207.65          |207.01          |202.25          |179.09          |213.27          |185.08          |187.42          |187.18          |183.44          |213.17          |181.62          |208.76          |206.82          |214.13          |192.81          |179.32          |220.25          |189.55          |224.83          |211.70          |224.82          |189.56          |221.35          |181.16          |194.14          |199.91          |224.53          |203.72          |173.38          |211.74          |190.46          |212.81          |193.36          |197.03          |216.79          |189.42          |213.18          |173.56          |190.09          |195.89          |213.65          |155.90          |198.24          |185.29          |228.57          |196.18          |230.86          |198.35          |228.69          |186.27          |204.47          |167.91          |203.14          |167.41          |136.59          |150.26          |204.50          |190.19          |216.73          |197.55          |197.76          |215.95          |190.41          |210.65          |173.37          |197.33          |212.15          |159.07          |161.92          |170.91          |219.64          |192.14          |230.61          |216.17          |229.89          |191.63          |220.38          |179.37          |195.47          |212.55          |186.73          |205.89          |180.96          |210.64          |185.91          |190.27          |191.16          |186.35          |213.85          |182.80          |209.00          |218.85          |206.41          |197.31          |174.69          |200.29          |207.20          |218.89          |213.00          |206.13          |176.78          |200.05          |215.18          |210.45          |199.57          |173.36          |182.42          |183.77          |180.97          |176.61          |168.47          |199.02          |212.70          |212.17          |214.81          |229.37          |212.37          |208.68          |193.03          |190.15          |200.77          |211.12          |281.42          |249.32          |218.78          |206.25          |196.90          |191.76          |
08.07.2013 06:01:00.000 |216.93          |211.66          |205.15          |204.90          |209.11          |215.40          |214.94          |213.00          |198.03          |191.75          |198.51          |193.16          |195.71          |209.31          |195.33          |208.31          |197.90          |172.00          |173.40          |175.88          |176.08          |172.81          |169.57          |190.28          |201.26          |206.47          |195.98          |175.61          |204.02          |206.94          |216.66          |209.74          |200.98          |174.48          |195.88          |207.56          |207.01          |202.21          |179.19          |213.20          |185.12          |187.47          |187.22          |183.48          |213.01          |181.48          |208.85          |206.81          |214.05          |192.73          |179.40          |220.59          |189.44          |225.08          |211.55          |224.89          |189.57          |221.19          |181.05          |194.14          |199.86          |224.52          |203.71          |173.35          |211.68          |190.51          |212.67          |193.40          |197.05          |216.80          |189.48          |213.26          |173.47          |190.05          |196.01          |213.90          |155.94          |198.05          |185.18          |228.50          |196.32          |230.73          |198.45          |228.61          |186.36          |204.46          |167.92          |203.09          |167.39          |136.42          |150.25          |204.43          |190.18          |216.67          |197.68          |197.88          |215.96          |190.52          |210.83          |173.40          |197.42          |212.10          |158.98          |161.84          |170.85          |219.45          |192.05          |230.47          |216.00          |229.99          |191.64          |220.51          |179.37          |195.66          |212.56          |186.75          |205.95          |180.96          |210.74          |185.97          |190.24          |191.27          |186.44          |213.98          |182.79          |209.11          |219.02          |206.43          |197.24          |174.83          |200.21          |207.20          |218.79          |213.12          |206.26          |176.88          |200.09          |215.28          |210.20          |199.49          |173.27          |182.34          |183.75          |180.95          |176.52          |168.57          |199.01          |212.71          |212.17          |214.86          |229.26          |212.43          |208.68          |193.10          |190.25          |200.84          |211.15          |281.63          |249.27          |218.70          |206.18          |196.97          |191.69          |
08.07.2013 06:01:10.000 |217.18          |211.92          |205.15          |205.20          |209.55          |215.67          |214.94          |213.00          |198.03          |192.06          |198.78          |193.71          |195.99          |209.58          |195.81          |208.31          |197.90          |172.00          |173.40          |175.88          |176.08          |172.81          |169.57          |190.53          |201.26          |206.47          |195.98          |175.61          |204.28          |207.24          |216.97          |210.01          |201.37          |174.82          |195.88          |207.56          |207.01          |202.21          |179.19          |213.46          |185.12          |187.47          |187.22          |183.76          |213.30          |181.48          |208.85          |206.81          |214.05          |193.12          |179.40          |220.59          |189.44          |225.08          |211.55          |225.17          |189.57          |221.49          |181.40          |194.14          |199.86          |224.81          |203.71          |173.35          |211.93          |190.51          |212.67          |193.40          |197.05          |217.17          |189.85          |213.56          |173.47          |190.05          |196.01          |213.90          |155.94          |198.05          |185.18          |228.76          |196.32          |231.01          |198.45          |228.88          |186.36          |204.71          |167.92          |203.09          |167.39          |136.42          |150.25          |204.43          |190.18          |216.93          |197.68          |197.88          |215.96          |190.52          |210.83          |173.40          |197.42          |212.38          |158.98          |161.84          |170.85          |219.74          |192.05          |230.75          |216.29          |229.99          |191.64          |220.51          |179.37          |195.66          |212.81          |186.75          |206.26          |181.26          |210.74          |185.97          |190.24          |191.27          |186.44          |213.98          |182.79          |209.11          |219.02          |206.43          |197.24          |174.83          |200.50          |207.49          |219.08          |213.12          |206.26          |176.88          |200.09          |215.56          |210.57          |199.49          |173.57          |182.34          |183.75          |180.95          |176.52          |168.57          |199.31          |212.99          |212.17          |215.21          |229.54          |212.71          |209.16          |193.10          |190.25          |200.84          |211.42          |281.63          |249.57          |219.06          |206.45          |196.97          |191.97          |
08.07.2013 06:01:20.000 |217.18          |211.97          |205.15          |205.20          |209.48          |215.36          |214.94          |213.00          |198.03          |191.71          |198.78          |193.50          |195.69          |209.54          |195.37          |208.31          |197.90          |172.00          |173.40          |175.88          |176.08          |172.81          |169.57          |190.17          |201.26          |206.47          |195.98          |175.61          |204.28          |206.97          |217.00          |210.01          |201.31          |174.74          |195.88          |207.56          |207.01          |202.21          |179.19          |213.46          |185.12          |187.47          |187.22          |183.74          |213.30          |181.48          |209.23          |206.81          |214.05          |193.12          |179.40          |220.59          |189.44          |225.08          |211.55          |225.17          |189.57          |221.49          |181.10          |194.14          |199.86          |224.81          |203.71          |173.35          |211.93          |190.51          |212.67          |193.40          |197.05          |216.82          |189.52          |213.56          |173.47          |190.05          |196.29          |213.90          |155.94          |198.05          |185.18          |228.76          |196.32          |231.01          |198.45          |228.88          |186.36          |204.71          |167.92          |203.09          |167.39          |136.42          |150.25          |204.43          |190.18          |216.93          |197.68          |197.88          |216.22          |190.52          |210.83          |173.40          |197.42          |212.38          |158.98          |161.84          |170.85          |219.74          |192.05          |230.75          |216.29          |229.99          |191.64          |220.51          |179.37          |195.66          |212.81          |186.75          |205.91          |181.01          |210.74          |185.97          |190.24          |191.27          |186.44          |213.98          |182.79          |209.11          |219.02          |206.43          |197.24          |174.83          |200.50          |207.18          |219.08          |213.12          |206.26          |176.88          |200.09          |215.56          |210.57          |199.49          |173.32          |182.34          |183.75          |180.95          |176.52          |168.57          |199.31          |212.99          |212.17          |215.21          |229.54          |212.71          |208.86          |193.10          |190.25          |200.84          |211.42          |281.63          |249.57          |218.62          |206.45          |196.97          |191.97          |
08.07.2013 06:01:30.000 |217.18          |211.97          |205.15          |205.20          |209.48          |215.36          |214.94          |213.00          |198.03          |191.71          |198.78          |193.50          |195.69          |209.54          |195.37          |208.31          |197.90          |172.00          |173.40          |175.88          |176.08          |172.81          |169.57          |190.17          |201.26          |206.47          |195.98          |175.61          |204.28          |206.97          |217.00          |210.01          |201.31          |174.74          |195.88          |207.56          |207.01          |202.21          |179.19          |213.46          |185.12          |187.47          |187.22          |183.74          |213.30          |181.48          |208.85          |206.81          |214.33          |193.12          |179.40          |220.59          |189.44          |225.08          |211.55          |225.17          |189.57          |221.49          |181.10          |194.14          |199.86          |224.81          |203.98          |173.35          |211.93          |190.51          |212.67          |193.40          |197.05          |216.82          |189.52          |213.56          |173.47          |190.05          |196.29          |214.20          |155.94          |198.34          |185.18          |228.76          |196.32          |231.01          |198.45          |228.88          |186.36          |204.71          |167.92          |203.09          |167.39          |136.68          |150.25          |204.43          |190.18          |216.93          |197.68          |197.88          |216.22          |190.79          |210.83          |173.40          |197.42          |212.38          |158.98          |161.84          |170.85          |219.74          |192.05          |230.75          |216.29          |230.26          |191.89          |220.77          |179.37          |195.98          |212.81          |186.75          |205.91          |181.01          |210.74          |185.97          |190.24          |191.27          |186.44          |213.98          |182.79          |209.40          |219.33          |206.43          |197.24          |174.83          |200.50          |207.18          |219.08          |213.12          |206.26          |176.88          |200.37          |215.56          |210.57          |199.49          |173.32          |182.34          |183.75          |180.95          |176.81          |168.57          |199.31          |212.99          |212.17          |215.21          |229.54          |212.71          |208.86          |193.10          |190.50          |201.12          |211.42          |281.63          |249.57          |218.97          |206.45          |196.97          |192.23          |
