Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:06:21.029  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |12YQS24CT001XQ01|12YQS25CT001XQ01|12YQS26CT001XQ01|12YQS27CT001XQ01|12YQS28CT001XQ01|12YQS29CT001XQ01|12YQS30CT001XQ01|12YQS31CT001XQ01|12YQS32CT001XQ01|12YQS33CT001XQ01|12YQS34CT001XQ01|12YQS35CT001XQ01|12YQS36CT001XQ01|12YQS37CT001XQ01|12YQS38CT001XQ01|12YQS39CT001XQ01|12YQS40CT001XQ01|12YQS41CT001XQ01|12YQS42CT001XQ01|12YQS43CT001XQ01|12YQS44CT001XQ01|12YQS45CT001XQ01|12YQS46CT001XQ01|12YQS53CT001XQ01|12YQS54CT001XQ01|
08.07.2013 08:00:00.000 |290.81          |291.17          |291.21          |291.36          |291.56          |290.80          |291.41          |291.15          |290.81          |290.97          |291.21          |291.38          |289.87          |292.92          |291.45          |291.27          |298.90          |291.16          |290.77          |290.90          |291.15          |291.75          |290.73          |0.000           |0.000           |
08.07.2013 08:00:10.000 |290.83          |291.09          |291.21          |291.36          |291.50          |290.80          |291.24          |291.27          |290.81          |290.97          |291.30          |291.32          |289.85          |292.84          |291.54          |291.24          |298.90          |291.16          |290.66          |290.93          |291.20          |291.67          |290.78          |0.000           |0.000           |
08.07.2013 08:00:20.000 |290.78          |291.12          |291.18          |291.36          |291.50          |290.83          |291.44          |291.18          |290.78          |290.94          |291.21          |291.38          |289.90          |292.95          |291.39          |291.33          |298.87          |291.14          |290.71          |290.93          |291.15          |291.75          |290.73          |0.000           |0.000           |
08.07.2013 08:00:30.000 |290.81          |291.20          |291.26          |291.45          |291.61          |290.86          |291.47          |291.21          |290.90          |291.03          |291.27          |291.50          |289.96          |293.01          |291.48          |291.45          |298.93          |291.23          |290.86          |290.99          |291.15          |291.87          |290.81          |0.000           |0.000           |
08.07.2013 08:00:40.000 |290.86          |291.17          |291.29          |291.45          |291.61          |290.89          |291.42          |291.33          |290.90          |291.03          |291.33          |291.41          |289.93          |292.98          |291.60          |291.36          |298.99          |291.23          |290.78          |291.04          |291.26          |291.81          |290.84          |0.000           |0.000           |
08.07.2013 08:00:50.000 |290.89          |291.23          |291.29          |291.50          |291.65          |290.92          |291.47          |291.24          |290.90          |291.03          |291.30          |291.44          |289.99          |293.04          |291.54          |291.39          |298.93          |291.25          |290.78          |291.04          |291.20          |291.87          |290.75          |0.000           |0.000           |
08.07.2013 08:01:00.000 |290.80          |291.20          |291.21          |291.42          |291.56          |290.89          |291.53          |291.12          |290.84          |291.00          |291.24          |291.50          |289.96          |293.01          |291.39          |291.36          |298.96          |291.20          |290.83          |290.93          |291.09          |291.87          |290.64          |0.000           |0.000           |
08.07.2013 08:01:10.000 |290.83          |291.08          |291.21          |291.42          |291.53          |290.86          |291.36          |291.36          |290.84          |290.91          |291.19          |291.32          |289.87          |292.98          |291.54          |291.33          |298.84          |291.17          |290.69          |291.07          |291.23          |291.84          |290.81          |0.000           |0.000           |
08.07.2013 08:01:20.000 |290.80          |291.08          |291.21          |291.39          |291.50          |290.80          |291.33          |291.24          |290.84          |290.91          |291.24          |291.32          |289.87          |292.90          |291.51          |291.28          |298.87          |291.14          |290.63          |291.01          |291.23          |291.73          |290.78          |0.000           |0.000           |
08.07.2013 08:01:30.000 |290.83          |291.11          |291.23          |291.39          |291.53          |290.89          |291.33          |291.30          |290.81          |291.00          |291.27          |291.38          |289.93          |292.95          |291.54          |291.31          |298.93          |291.17          |290.69          |290.96          |291.20          |291.75          |290.78          |0.000           |0.000           |
08.07.2013 08:01:40.000 |290.77          |291.17          |291.21          |291.36          |291.50          |290.83          |291.36          |291.12          |290.81          |291.00          |291.27          |291.41          |289.90          |292.95          |291.48          |291.31          |298.93          |291.20          |290.72          |290.96          |291.12          |291.81          |290.67          |0.000           |0.000           |
08.07.2013 08:01:50.000 |290.83          |291.17          |291.23          |291.39          |291.56          |290.83          |291.42          |291.24          |290.84          |290.97          |291.24          |291.41          |289.90          |293.04          |291.48          |291.39          |298.90          |291.17          |290.80          |290.96          |291.18          |291.84          |290.82          |0.000           |0.000           |
08.07.2013 08:02:00.000 |290.92          |291.20          |291.29          |291.48          |291.65          |290.92          |291.45          |291.30          |290.96          |291.02          |291.36          |291.41          |289.96          |293.01          |291.62          |291.39          |298.96          |291.26          |290.78          |291.07          |291.32          |291.84          |290.87          |0.000           |0.000           |
08.07.2013 08:02:10.000 |291.00          |291.28          |291.38          |291.51          |291.68          |291.00          |291.36          |291.38          |290.96          |291.06          |291.39          |291.47          |290.02          |293.01          |291.68          |291.39          |298.99          |291.26          |290.78          |291.13          |291.35          |291.84          |290.93          |0.000           |0.000           |
08.07.2013 08:02:20.000 |290.92          |291.28          |291.35          |291.51          |291.65          |291.00          |291.48          |291.29          |290.96          |291.08          |291.33          |291.50          |290.04          |293.04          |291.62          |291.42          |299.01          |291.32          |290.89          |291.13          |291.32          |291.87          |290.82          |0.000           |0.000           |
08.07.2013 08:02:30.000 |290.92          |291.28          |291.32          |291.51          |291.68          |290.95          |291.56          |291.32          |290.96          |291.11          |291.33          |291.55          |290.04          |293.07          |291.56          |291.48          |299.04          |291.29          |290.83          |291.13          |291.38          |291.90          |290.96          |0.000           |0.000           |
08.07.2013 08:02:40.000 |290.97          |291.23          |291.32          |291.54          |291.62          |290.98          |291.39          |291.32          |290.98          |291.08          |291.36          |291.44          |289.96          |292.96          |291.62          |291.37          |298.96          |291.29          |290.80          |291.07          |291.29          |291.81          |290.87          |0.000           |0.000           |
08.07.2013 08:02:50.000 |290.83          |291.17          |291.21          |291.42          |291.57          |290.86          |291.53          |291.24          |290.92          |290.97          |291.25          |291.38          |289.93          |292.99          |291.59          |291.31          |298.93          |291.20          |290.72          |291.01          |291.23          |291.76          |290.82          |0.000           |0.000           |
08.07.2013 08:03:00.000 |290.85          |291.14          |291.23          |291.42          |291.57          |290.89          |291.27          |291.21          |290.90          |290.97          |291.30          |291.32          |289.90          |292.87          |291.47          |291.31          |298.90          |291.20          |290.69          |291.04          |291.26          |291.76          |290.64          |0.000           |0.000           |
08.07.2013 08:03:10.000 |290.88          |291.17          |291.26          |291.42          |291.54          |290.89          |291.39          |291.27          |290.84          |291.00          |291.22          |291.41          |289.96          |292.99          |291.47          |291.34          |298.93          |291.17          |290.69          |291.04          |291.26          |291.73          |290.84          |0.000           |0.000           |
08.07.2013 08:03:20.000 |290.85          |291.08          |291.21          |291.42          |291.54          |290.86          |291.24          |291.32          |290.87          |290.94          |291.25          |291.35          |289.90          |292.87          |291.59          |291.31          |298.87          |291.12          |290.69          |290.99          |291.20          |291.70          |290.82          |0.000           |0.000           |
08.07.2013 08:03:30.000 |290.80          |291.08          |291.21          |291.36          |291.51          |290.83          |291.30          |291.15          |290.81          |290.97          |291.19          |291.35          |289.87          |292.81          |291.44          |291.19          |298.87          |291.14          |290.69          |290.90          |291.06          |291.67          |290.67          |0.000           |0.000           |
08.07.2013 08:03:40.000 |290.74          |291.05          |291.18          |291.33          |291.48          |290.71          |291.34          |291.09          |290.78          |290.88          |291.16          |291.29          |289.81          |292.90          |291.32          |291.25          |298.81          |291.09          |290.69          |290.81          |291.03          |291.73          |290.58          |0.000           |0.000           |
08.07.2013 08:03:50.000 |290.77          |291.11          |291.18          |291.36          |291.54          |290.77          |291.36          |291.03          |290.75          |290.94          |291.16          |291.38          |289.87          |292.93          |291.32          |291.25          |298.87          |291.15          |290.78          |290.84          |291.09          |291.79          |290.76          |0.000           |0.000           |
08.07.2013 08:04:00.000 |290.80          |291.02          |291.18          |291.34          |291.45          |290.77          |291.19          |291.21          |290.81          |290.91          |291.22          |291.26          |289.81          |292.81          |291.44          |291.19          |298.81          |291.09          |290.58          |290.95          |291.23          |291.64          |290.70          |0.000           |0.000           |
08.07.2013 08:04:10.000 |290.83          |291.11          |291.21          |291.37          |291.51          |290.86          |291.31          |291.18          |290.89          |290.94          |291.28          |291.38          |289.93          |292.84          |291.50          |291.28          |298.90          |291.17          |290.66          |290.99          |291.23          |291.70          |290.73          |0.000           |0.000           |
08.07.2013 08:04:20.000 |290.88          |291.14          |291.23          |291.42          |291.54          |290.89          |291.28          |291.32          |290.89          |291.00          |291.28          |291.38          |289.93          |292.93          |291.47          |291.34          |298.93          |291.17          |290.72          |291.01          |291.26          |291.79          |290.82          |0.000           |0.000           |
08.07.2013 08:04:30.000 |290.83          |291.05          |291.15          |291.34          |291.45          |290.80          |291.16          |291.24          |290.84          |290.88          |291.22          |291.26          |289.84          |292.81          |291.55          |291.22          |298.81          |291.12          |290.61          |290.98          |291.20          |291.64          |290.70          |0.000           |0.000           |
08.07.2013 08:04:40.000 |290.74          |290.96          |291.06          |291.28          |291.40          |290.74          |291.07          |291.21          |290.81          |290.79          |291.16          |291.18          |289.78          |292.73          |291.53          |291.19          |298.73          |291.06          |290.49          |290.93          |291.23          |291.58          |290.76          |0.000           |0.000           |
08.07.2013 08:04:50.000 |290.65          |291.05          |291.09          |291.28          |291.42          |290.68          |291.28          |290.95          |290.75          |290.85          |291.13          |291.23          |289.75          |292.79          |291.23          |291.14          |298.78          |291.06          |290.61          |290.84          |290.97          |291.64          |290.44          |0.000           |0.000           |
08.07.2013 08:05:00.000 |290.77          |291.02          |291.18          |291.28          |291.42          |290.71          |291.13          |291.18          |290.75          |290.88          |291.16          |291.26          |289.75          |292.76          |291.44          |291.19          |298.81          |291.03          |290.52          |290.90          |291.11          |291.61          |290.70          |0.000           |0.000           |
08.07.2013 08:05:10.000 |290.83          |291.08          |291.18          |291.37          |291.51          |290.83          |291.31          |291.12          |290.78          |290.91          |291.25          |291.26          |289.84          |292.79          |291.47          |291.19          |298.84          |291.15          |290.61          |290.98          |291.17          |291.58          |290.76          |0.000           |0.000           |
08.07.2013 08:05:20.000 |290.88          |291.16          |291.26          |291.42          |291.54          |290.91          |291.34          |291.32          |290.93          |291.00          |291.33          |291.32          |289.93          |292.84          |291.70          |291.34          |298.90          |291.23          |290.63          |291.16          |291.43          |291.73          |290.84          |0.000           |0.000           |
08.07.2013 08:05:30.000 |290.85          |291.19          |291.26          |291.45          |291.59          |290.88          |291.42          |291.21          |290.84          |290.97          |291.19          |291.44          |289.95          |292.96          |291.47          |291.31          |298.93          |291.17          |290.81          |290.92          |291.06          |291.81          |290.64          |0.000           |0.000           |
08.07.2013 08:05:40.000 |290.97          |291.16          |291.29          |291.54          |291.65          |291.00          |291.39          |291.41          |290.96          |290.97          |291.31          |291.38          |289.98          |293.05          |291.67          |291.43          |298.93          |291.26          |290.75          |291.13          |291.37          |291.84          |290.90          |0.000           |0.000           |
