Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:05:15.249  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |11YQS01CT001XQ01|11YQS02CT001XQ01|11YQS03CT001XQ01|11YQS04CT001XQ01|11YQS05CT001XQ01|11YQS06CT001XQ01|11YQS07CT001XQ01|11YQS08CT001XQ01|11YQS09CT001XQ01|11YQS10CT001XQ01|11YQS11CT001XQ01|11YQS12CT001XQ01|11YQS13CT001XQ01|11YQS14CT001XQ01|11YQS15CT001XQ01|11YQS16CT001XQ01|11YQS17CT001XQ01|11YQS18CT001XQ01|11YQS19CT001XQ01|11YQS20CT001XQ01|11YQS21CT001XQ01|11YQS22CT001XQ01|11YQS23CT001XQ01|11YQS51CT001XQ01|11YQS52CT001XQ01|12YQS24CT001XQ01|12YQS25CT001XQ01|12YQS26CT001XQ01|12YQS27CT001XQ01|12YQS28CT001XQ01|12YQS29CT001XQ01|12YQS30CT001XQ01|12YQS31CT001XQ01|12YQS32CT001XQ01|12YQS33CT001XQ01|12YQS34CT001XQ01|12YQS35CT001XQ01|12YQS36CT001XQ01|12YQS37CT001XQ01|12YQS38CT001XQ01|12YQS39CT001XQ01|12YQS40CT001XQ01|12YQS41CT001XQ01|12YQS42CT001XQ01|12YQS43CT001XQ01|12YQS44CT001XQ01|12YQS45CT001XQ01|12YQS46CT001XQ01|12YQS53CT001XQ01|12YQS54CT001XQ01|
08.07.2013 08:00:00.000 |293.45          |290.54          |291.22          |290.64          |290.72          |293.38          |290.34          |291.53          |291.04          |290.73          |290.96          |290.72          |291.55          |290.74          |291.44          |291.22          |290.98          |291.77          |291.14          |290.97          |291.38          |291.62          |290.70          |0.000           |0.000           |290.81          |291.17          |291.21          |291.36          |291.56          |290.80          |291.41          |291.15          |290.81          |290.97          |291.21          |291.38          |289.87          |292.92          |291.45          |291.27          |298.90          |291.16          |290.77          |290.90          |291.15          |291.75          |290.73          |0.000           |0.000           |
08.07.2013 08:00:10.000 |293.48          |290.57          |291.16          |290.55          |290.66          |293.35          |290.34          |291.53          |291.04          |290.76          |290.85          |290.69          |291.49          |290.68          |291.41          |291.14          |290.98          |291.74          |291.14          |290.82          |291.35          |291.59          |290.82          |0.000           |0.000           |290.83          |291.09          |291.21          |291.36          |291.50          |290.80          |291.24          |291.27          |290.81          |290.97          |291.30          |291.32          |289.85          |292.84          |291.54          |291.24          |298.90          |291.16          |290.66          |290.93          |291.20          |291.67          |290.78          |0.000           |0.000           |
08.07.2013 08:00:20.000 |293.42          |290.51          |291.16          |290.58          |290.75          |293.44          |290.34          |291.62          |291.04          |290.71          |290.93          |290.69          |291.55          |290.71          |291.41          |291.28          |290.92          |291.74          |291.08          |290.97          |291.38          |291.68          |290.68          |0.000           |0.000           |290.78          |291.12          |291.18          |291.36          |291.50          |290.83          |291.44          |291.18          |290.78          |290.94          |291.21          |291.38          |289.90          |292.95          |291.39          |291.33          |298.87          |291.14          |290.71          |290.93          |291.15          |291.75          |290.73          |0.000           |0.000           |
08.07.2013 08:00:30.000 |293.50          |290.59          |291.28          |290.70          |290.86          |293.50          |290.39          |291.62          |291.09          |290.76          |291.08          |290.83          |291.61          |290.86          |291.49          |291.39          |290.98          |291.80          |291.20          |291.05          |291.47          |291.74          |290.70          |0.000           |0.000           |290.81          |291.20          |291.26          |291.45          |291.61          |290.86          |291.47          |291.21          |290.90          |291.03          |291.27          |291.50          |289.96          |293.01          |291.48          |291.45          |298.93          |291.23          |290.86          |290.99          |291.15          |291.87          |290.81          |0.000           |0.000           |
08.07.2013 08:00:40.000 |293.59          |290.62          |291.22          |290.67          |290.77          |293.47          |290.48          |291.65          |291.09          |290.85          |290.96          |290.80          |291.58          |290.75          |291.46          |291.28          |291.01          |291.80          |291.20          |290.97          |291.47          |291.74          |290.82          |0.000           |0.000           |290.86          |291.17          |291.29          |291.45          |291.61          |290.89          |291.42          |291.33          |290.90          |291.03          |291.33          |291.41          |289.93          |292.98          |291.60          |291.36          |298.99          |291.23          |290.78          |291.04          |291.26          |291.81          |290.84          |0.000           |0.000           |
08.07.2013 08:00:50.000 |293.59          |290.62          |291.25          |290.70          |290.86          |293.47          |290.42          |291.65          |291.09          |290.82          |291.05          |290.83          |291.64          |290.86          |291.49          |291.36          |291.04          |291.86          |291.23          |291.00          |291.52          |291.76          |290.79          |0.000           |0.000           |290.89          |291.23          |291.29          |291.50          |291.65          |290.92          |291.47          |291.24          |290.90          |291.03          |291.30          |291.44          |289.99          |293.04          |291.54          |291.39          |298.93          |291.25          |290.78          |291.04          |291.20          |291.87          |290.75          |0.000           |0.000           |
08.07.2013 08:01:00.000 |293.50          |290.54          |291.22          |290.64          |290.77          |293.50          |290.34          |291.59          |291.12          |290.73          |291.08          |290.80          |291.64          |290.89          |291.46          |291.33          |290.98          |291.83          |291.17          |291.08          |291.47          |291.71          |290.79          |0.000           |0.000           |290.80          |291.20          |291.21          |291.42          |291.56          |290.89          |291.53          |291.12          |290.84          |291.00          |291.24          |291.50          |289.96          |293.01          |291.39          |291.36          |298.96          |291.20          |290.83          |290.93          |291.09          |291.87          |290.64          |0.000           |0.000           |
08.07.2013 08:01:10.000 |293.53          |290.57          |291.13          |290.61          |290.75          |293.44          |290.57          |291.62          |291.00          |290.76          |290.91          |290.75          |291.52          |290.75          |291.46          |291.30          |290.95          |291.74          |291.14          |290.88          |291.47          |291.74          |290.79          |0.000           |0.000           |290.83          |291.08          |291.21          |291.42          |291.53          |290.86          |291.36          |291.36          |290.84          |290.91          |291.19          |291.32          |289.87          |292.98          |291.54          |291.33          |298.84          |291.17          |290.69          |291.07          |291.23          |291.84          |290.81          |0.000           |0.000           |
08.07.2013 08:01:20.000 |293.53          |290.54          |291.10          |290.55          |290.69          |293.35          |290.39          |291.53          |291.00          |290.79          |290.93          |290.75          |291.52          |290.69          |291.38          |291.24          |290.95          |291.74          |291.14          |290.82          |291.41          |291.65          |290.81          |0.000           |0.000           |290.80          |291.08          |291.21          |291.39          |291.50          |290.80          |291.33          |291.24          |290.84          |290.91          |291.24          |291.32          |289.87          |292.90          |291.51          |291.28          |298.87          |291.14          |290.63          |291.01          |291.23          |291.73          |290.78          |0.000           |0.000           |
08.07.2013 08:01:30.000 |293.56          |290.59          |291.24          |290.61          |290.75          |293.35          |290.39          |291.59          |291.12          |290.79          |290.93          |290.72          |291.55          |290.72          |291.44          |291.24          |291.04          |291.83          |291.20          |290.97          |291.44          |291.68          |290.76          |0.000           |0.000           |290.83          |291.11          |291.23          |291.39          |291.53          |290.89          |291.33          |291.30          |290.81          |291.00          |291.27          |291.38          |289.93          |292.95          |291.54          |291.31          |298.93          |291.17          |290.69          |290.96          |291.20          |291.75          |290.78          |0.000           |0.000           |
08.07.2013 08:01:40.000 |293.53          |290.54          |291.22          |290.61          |290.75          |293.38          |290.33          |291.56          |291.09          |290.73          |290.99          |290.75          |291.55          |290.72          |291.41          |291.30          |290.95          |291.80          |291.14          |290.94          |291.38          |291.65          |290.70          |0.000           |0.000           |290.77          |291.17          |291.21          |291.36          |291.50          |290.83          |291.36          |291.12          |290.81          |291.00          |291.27          |291.41          |289.90          |292.95          |291.48          |291.31          |298.93          |291.20          |290.72          |290.96          |291.12          |291.81          |290.67          |0.000           |0.000           |
08.07.2013 08:01:50.000 |293.53          |290.54          |291.22          |290.67          |290.77          |293.44          |290.39          |291.67          |291.09          |290.79          |290.93          |290.80          |291.61          |290.78          |291.44          |291.27          |290.96          |291.80          |291.19          |291.03          |291.41          |291.77          |290.75          |0.000           |0.000           |290.83          |291.17          |291.23          |291.39          |291.56          |290.83          |291.42          |291.24          |290.84          |290.97          |291.24          |291.41          |289.90          |293.04          |291.48          |291.39          |298.90          |291.17          |290.80          |290.96          |291.18          |291.84          |290.82          |0.000           |0.000           |
08.07.2013 08:02:00.000 |293.59          |290.62          |291.22          |290.73          |290.80          |293.44          |290.57          |291.64          |291.12          |290.88          |290.99          |290.86          |291.63          |290.84          |291.49          |291.39          |291.02          |291.83          |291.22          |290.94          |291.52          |291.77          |290.98          |0.000           |0.000           |290.92          |291.20          |291.29          |291.48          |291.65          |290.92          |291.45          |291.30          |290.96          |291.02          |291.36          |291.41          |289.96          |293.01          |291.62          |291.39          |298.96          |291.26          |290.78          |291.07          |291.32          |291.84          |290.87          |0.000           |0.000           |
08.07.2013 08:02:10.000 |293.65          |290.68          |291.27          |290.73          |290.86          |293.47          |290.62          |291.67          |291.15          |290.88          |291.02          |290.84          |291.69          |290.81          |291.55          |291.27          |291.10          |291.88          |291.31          |290.91          |291.58          |291.77          |290.93          |0.000           |0.000           |291.00          |291.28          |291.38          |291.51          |291.68          |291.00          |291.36          |291.38          |290.96          |291.06          |291.39          |291.47          |290.02          |293.01          |291.68          |291.39          |298.99          |291.26          |290.78          |291.13          |291.35          |291.84          |290.93          |0.000           |0.000           |
