Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:05:59.910  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |12YQS24CT003XQ01|12YQS25CT003XQ01|12YQS26CT003XQ01|12YQS27CT003XQ01|12YQS28CT003XQ01|12YQS29CT003XQ01|12YQS30CT003XQ01|12YQS31CT003XQ01|12YQS32CT003XQ01|12YQS33CT003XQ01|12YQS34CT003XQ01|12YQS35CT003XQ01|12YQS36CT003XQ01|12YQS37CT003XQ01|12YQS38CT003XQ01|12YQS39CT003XQ01|12YQS40CT003XQ01|12YQS41CT003XQ01|12YQS42CT003XQ01|12YQS43CT003XQ01|12YQS44CT003XQ01|12YQS45CT003XQ01|12YQS46CT003XQ01|12YQS53CT003XQ01|12YQS54CT003XQ01|
08.07.2013 08:00:00.000 |314.95          |320.31          |321.01          |314.21          |320.21          |318.64          |321.06          |319.07          |319.15          |316.82          |317.74          |320.14          |312.32          |326.06          |318.50          |315.90          |316.78          |322.99          |317.89          |320.56          |318.64          |318.42          |315.67          |317.96          |310.51          |
08.07.2013 08:00:10.000 |315.03          |320.39          |321.01          |314.27          |320.32          |318.58          |320.94          |319.04          |319.12          |316.73          |317.77          |320.06          |312.24          |325.43          |318.44          |315.81          |316.67          |322.96          |317.78          |321.19          |318.70          |318.59          |315.70          |317.93          |310.68          |
08.07.2013 08:00:20.000 |315.00          |320.19          |321.01          |314.38          |320.12          |318.64          |321.46          |319.12          |319.17          |316.79          |317.57          |320.11          |312.12          |326.66          |318.47          |315.76          |316.81          |322.97          |317.66          |321.30          |318.61          |318.56          |315.78          |318.02          |310.54          |
08.07.2013 08:00:30.000 |315.06          |320.34          |321.03          |314.33          |320.27          |318.81          |321.40          |318.98          |319.26          |316.84          |317.71          |320.23          |312.18          |326.17          |318.55          |315.87          |316.64          |322.97          |317.83          |321.24          |318.70          |318.65          |315.70          |317.96          |310.57          |
08.07.2013 08:00:40.000 |315.11          |320.45          |321.03          |314.33          |320.24          |318.72          |321.29          |319.24          |319.20          |316.82          |317.80          |320.17          |311.95          |326.40          |318.55          |315.93          |316.75          |322.91          |317.75          |320.96          |318.76          |318.56          |315.75          |318.25          |310.82          |
08.07.2013 08:00:50.000 |315.08          |320.36          |321.14          |314.41          |320.44          |318.87          |321.29          |319.04          |319.26          |316.96          |317.72          |320.20          |312.32          |326.55          |318.61          |315.90          |316.73          |323.05          |317.84          |321.16          |318.76          |318.56          |315.75          |317.96          |310.59          |
08.07.2013 08:01:00.000 |315.14          |320.33          |321.00          |314.44          |320.24          |318.78          |321.26          |319.04          |319.26          |316.79          |317.74          |320.11          |312.21          |326.55          |318.52          |316.01          |316.72          |322.97          |317.92          |320.56          |318.73          |318.76          |315.72          |318.13          |310.51          |
08.07.2013 08:01:10.000 |314.97          |320.39          |321.00          |314.41          |320.21          |318.98          |321.20          |319.12          |319.32          |316.79          |317.72          |320.11          |312.06          |325.54          |318.41          |315.93          |316.64          |323.02          |317.58          |321.59          |318.73          |318.65          |315.78          |317.99          |310.82          |
08.07.2013 08:01:20.000 |315.03          |320.39          |320.89          |314.35          |320.15          |318.81          |321.00          |319.07          |319.26          |316.73          |317.80          |320.31          |312.03          |326.35          |318.52          |315.82          |316.64          |322.97          |317.58          |321.42          |318.67          |318.56          |315.90          |318.08          |310.88          |
08.07.2013 08:01:30.000 |315.05          |320.36          |321.06          |314.38          |320.27          |318.86          |321.23          |319.09          |319.15          |316.82          |317.72          |320.20          |312.12          |326.40          |318.75          |315.93          |316.72          |323.02          |317.84          |321.22          |318.78          |318.56          |315.70          |318.02          |310.65          |
08.07.2013 08:01:40.000 |314.99          |320.22          |320.97          |314.22          |320.19          |318.83          |321.00          |318.89          |319.12          |316.73          |317.89          |320.17          |312.12          |326.46          |318.52          |315.96          |316.67          |323.05          |317.95          |321.33          |318.73          |318.53          |315.84          |318.08          |310.71          |
08.07.2013 08:01:50.000 |315.19          |320.39          |320.97          |314.41          |320.27          |318.83          |322.49          |318.92          |319.12          |316.87          |317.69          |320.20          |312.32          |326.55          |318.52          |315.84          |316.70          |323.00          |317.95          |320.59          |318.70          |318.51          |315.79          |318.08          |310.65          |
08.07.2013 08:02:00.000 |315.11          |320.33          |321.03          |314.56          |320.24          |318.83          |321.95          |319.15          |319.26          |316.78          |317.83          |320.14          |312.06          |325.57          |318.52          |315.84          |316.75          |323.00          |317.75          |321.27          |318.76          |318.57          |315.84          |318.05          |310.88          |
08.07.2013 08:02:10.000 |315.14          |320.59          |321.00          |314.50          |320.33          |318.95          |322.21          |319.15          |319.23          |316.82          |317.92          |320.40          |312.35          |326.23          |318.69          |315.79          |316.78          |323.03          |317.81          |320.45          |318.81          |318.68          |315.81          |318.13          |311.14          |
